feature_1,feature_2,feature_3,feature_4,feature_5,target
0.4967,-0.1383,0.6477,1.523,-0.2342,47.8866
-0.2341,1.5792,0.7674,-0.4695,0.5425,18.0645
-0.4634,-0.4657,0.2419,-1.9133,-1.7249,-106.1362
-0.5623,-1.0128,0.3142,-0.908,-1.4123,-74.6525
-0.908,-1.4123,0.3142,-0.5623,-1.0128,-109.1171
-1.0128,-0.5623,-1.4123,0.3142,-0.908,-75.4323
1.523,0.6477,-0.1383,0.4967,-0.2342,128.4521
0.7674,0.5425,-0.4695,-0.2341,1.5792,35.1204
-1.9133,0.2419,-0.4657,-1.7249,-0.4634,-162.7845
0.3142,-0.908,-1.0128,-1.4123,-0.5623,-62.1102
0.5425,0.7674,-0.2341,1.5792,-0.4695,68.9103
-0.1383,0.4967,1.523,-0.2342,0.6477,41.2845
1.5792,-0.4695,0.5425,-0.2341,0.7674,89.5421
-0.4657,-1.7249,-0.4634,0.2419,-1.9133,-115.3421
-1.0128,0.3142,-0.5623,-0.908,-1.4123,-82.1904
0.6477,1.523,0.4967,-0.2342,-0.1383,72.4812
0.7674,-0.2341,0.5425,-0.4695,1.5792,48.1902
-0.4657,0.2419,-1.9133,-0.4634,-1.7249,-122.3810
-0.5623,-0.908,0.3142,-1.4123,-1.0128,-68.9021
1.523,-0.1383,0.4967,-0.2342,0.6477,112.5401
