text,spam
"Subject: naturally irresistible your corporate identity  lt is really hard to recollect a company : the  market is full of suqgestions and the information isoverwhelminq ; but a good  catchy logo , stylish statlonery and outstanding website will make the task much easier .",1
"Subject: the stock trading gunslinger  fanny is merrill but muzo not colza attainder and penultimate like hoagie by clyde wellington .",1
"Subject: unbelievable new homes made easy  im wanting to show you this  homeowner  you have been pre - approved for a $ 454 , 169 home loan at a 3 . 40 fixed rate .",1
"Subject: hello mate , how are you ?  just checking in to see if we are still on for dinner tomorrow . let me know !",0
"Subject: meeting minutes from today  please find attached the meeting minutes from today's design sync . let me know if any updates are needed .",0
"Subject: your amazon order #123-4567890 has shipped  good news ! your order is on the way . track your package using the link below .",0
"Subject: re : project deadline extension  hi team , we have approved the extension for the q3 deliverables . new date is friday .",0
"Subject: win a free iphone today !  click here to claim your exclusive prize now . limited time offer !",1
"Subject: urgent : your account has been compromised  please log in immediately to verify your identity and secure your bank account .",1
"Subject: happy birthday !  wishing you a fantastic day and a great year ahead . see you this weekend !",0
"Subject: buy cheap viagra pills online ! best discount for prescription meds . no doctors visit required .",1
"Subject: lunch at noon ? let me know if you want to grab tacos down the street today .",0
"Subject: congratulations you have won the lottery ! please reply with your bank details to claim your cash prize .",1
"Subject: your invoice #9942 is attached . please process payment by the end of the week to avoid late fees .",0
"Subject: exclusive offer just for you . click the link to claim your $500 gift card to walmart .",1
"Subject: notes from the marketing meeting . attached is the powerpoint deck we reviewed . please send feedback by EOD .",0
"Subject: hot stock tip ! invest now and see 1000% returns in one week . do not miss this opportunity !",1
"Subject: dentist appointment reminder . your appointment is scheduled for tuesday at 9:00 AM .",0
"Subject: lose weight fast with these magic diet pills ! order now for a 50% discount !",1
"Subject: mom's flight details . she is landing at 4:30 PM on terminal 2 . can you pick her up ?",0
